,Source,Target,Amount
124,0,1,3.172782646035402418635888795996802
125,1,0,599.2830577805771173431337748627245
126,1,0,0.0816334757016646652276746356987291
127,1,0,512.1927873934072050859827489162885
128,0,1,6088.620920726518712310172517375365
129,1,0,25457.82111954719380207354798603318
130,0,1,1753.072569285519976462023639822626
131,1,0,133766.0027280521010421916513252401
132,1,0,306.2401705630123391415490515271339
133,0,1,3.170815101090444099611730925354571
134,1,0,29989.92228194877601962058418332935
135,1,0,346.8395722807073649641656180682504
136,1,0,19995.92972635643691664326036461177
137,0,1,10460.38593351035103630049265329363
138,1,0,14991.69073067296983013464218542874
139,1,0,29986.72843182828725040168682730934
140,0,1,5839.45928626168309881459105084569
141,1,0,999.6167450185910979406915635417375
142,1,0,1369.93918636356588899562227524338
143,1,0,3178.036535108441526865991956236658
144,0,1,658.553068923471385082004539755224
145,1,0,648.0194048275078099349859704743285
146,1,0,116.1258875717296665530481926273132
147,1,0,499.8147437296744904699813269585796
148,1,0,1774.132246022864070553720872050501
149,0,1,6343.3845632896808263665184724134
150,0,1,766.1642628727743470483706555762785
151,0,1,15846.16860633941723323705829313822
152,0,1,16386.95532477669280506134379062098
153,0,1,25372.4865358754858883356843428334
154,0,1,9703.331640325713022424840075526395
155,0,1,173668.8955625809380638304530539095
156,0,1,28535.72888550865076548732229437071
157,1,0,764.597194546773260878332462354818
158,1,0,828.5556829044235401012811501114205
159,0,1,162752.8024936634091244007207350277
160,1,0,5346.610661755195323120665145158395
161,0,1,639.7104374946210803071010888076165
162,0,1,574.1428730267460655707055211891905
163,1,0,4150.170464624128188028862217860177
164,0,1,3949.314077521541546095176463135986
165,0,1,639.0247633605210031580790342976485
166,0,1,1801.556663981907834568689456395963
167,0,1,26107.84368528800656659006453967147
168,1,0,3863.727280367877158081110685796625
169,0,1,3498.409665850897058949441377438407
170,0,1,3001.683956960070538886099555514243
171,1,0,127599.2845180757045017494549815255
172,1,0,4987.661359539413921087069281062205
173,1,0,6982.97694674340569204517553083526
174,1,0,7950.04483146415195172100559968601
175,1,0,10305.09286534437046559336439651421
176,1,0,14965.73729925713342622318701711666
177,1,0,2894.034254007109401700514607850019
178,1,0,2480.629390025354941597403248141331
179,1,0,120814.084478939853092823834386144
180,0,1,1425.809986022362290859238477872893
181,1,0,128099.7981989461515027834591449831
182,0,1,1776.68794352527065686639046208187
183,0,1,39.62071937330580939396380874102407
184,1,0,119709.3066093466312841480267739492
185,1,0,14969.23726361346364092197943769416
186,0,1,1579.489702380209860601832217222998
187,1,0,9975.494246065237483023095194984085
188,1,0,95263.0724616747121536344427843049
189,1,0,92800.33021129891356713039069877285
190,0,1,1417.291338206174650783633414790897
191,1,0,3581.734719086192664656373656834158
192,1,0,129074.5340704671879276983982078714
193,1,0,24968.43244394356204301017525297235
194,1,0,2966.053106487779311934311497969805
195,1,0,2281.072131985019008666270441247271
196,0,1,218.8880462812988717021044696742855
197,0,1,146737.7346190444984509999659031998
198,0,1,4403.066912171091318929012444344301
199,1,0,1582.98925445237081331209193085016
200,1,0,394.4828185414090092401800520675855
201,1,0,336.3392845789877450254883344953081
202,0,1,12446.71070837774774419901579012533
203,0,1,18649.93086790338393981273873389882
204,0,1,188792.7930488037045263021352104907
205,1,0,6596.436312592733171529772523482115
206,0,1,151069.2615157559642609544599190136
207,0,1,2917.331418789742757415351816289213
208,0,1,1930.34932489950204307638303640923
209,1,0,1995.59068159903380257125356445156
210,0,1,5959.929701732169851911214639929675
211,1,0,3112.143379925299774312557705015355
212,0,1,1659.773998972284404936410269489253
213,0,1,37977.59344267179796656709456266274
214,0,1,3.16528684858037563432181212822451
215,1,0,3095.706372410091444909747385598877
216,0,1,4662.908167452928138106999000465948
217,1,0,1077.794656884762838836998463828681
218,1,0,4762.195532218674908043327541898982
219,0,1,44317.79053847800007480250213268743
220,0,1,1120.730455414255789175900309862549
221,0,1,23932.75761018604883618572682814396
222,1,0,4987.0276676004563789357640777031
223,1,0,997.36765072977501948742409785224
224,0,1,3739.981137321130877353812658974718
225,0,1,50441.44990825418341088663104925305
226,0,1,4018.306385481984229427969803019206
227,0,1,1171.854644165253793501358341659785
228,1,0,594.131139893884177558217537539249
229,1,0,7479.6292558285110640359091826696
230,0,1,1937.404197255814271599135554410147
231,0,1,1796.499015869158182549859737435073
232,1,0,229.3768198332991521029342477319201
233,1,0,154012.8222626277821625230477708366
234,0,1,2435.81219288446419878459967272221
235,1,0,4990.243389360904921493190950215556
236,1,0,14971.48769585169327513675799827614
237,1,0,399.2589603296472380935169279274917
238,1,0,1770.157289443706311211257514160008
239,0,1,7008.04917249700332903707807092209
240,0,1,20122.41801006129853164593708241249
241,1,0,2495.027520992119309544826022807467
242,0,1,3865.847903027920844892528514993669
243,0,1,7914.21620971061602259129851448704
244,1,0,1996.081490844612787691036358614451
245,1,0,353.3586034629841760135889172111566
246,1,0,459.0995347729983812871669951241592
247,1,0,2737.865691115870873913437084067103
248,1,0,428.7153056627828166104217589509452
249,1,0,2590.167589881515392399347503714016
250,0,1,16025.42818441536286269246483423351
251,0,1,1663.023324597928089686011696603591
252,1,0,3407.004382999849349486782129139501
253,1,0,1833.196736206722510784691053907504
254,1,0,23918.22080948201185107010384724929
255,1,0,24956.40862416566942955551687439897
256,1,0,3257.97192192727866527230324702509
257,1,0,1573.658181659865713176038612923838
258,1,0,14975.50186465350720071267340952053
259,0,1,79690.5067826591206920074096306024
260,0,1,6863.496508769085530283306304581735
261,0,1,60669.2308861816318856299847898082
262,1,0,3166.026480792754652737240398145377
263,0,1,659.3001197417821070691840874579155
264,1,0,4994.321794061332878109074774504447
265,1,0,138442.8837689585162880185214850669
266,1,0,159486.7865596785469515508814389258
267,1,0,248805.0091318671109576302452806461
268,1,0,1252.410289991862287184169365480666
269,1,0,804.5973674878533752920033033640915
270,0,1,13087.99995235435697055714447089066
271,1,0,4994.851636976641997450366348727543
272,0,1,7902.79351458454181842412074279224
273,0,1,1177.711539103200570249648900626113
274,0,1,4976.544001012712325098259960914229
275,0,1,1670.79678042748987727166610849359
276,1,0,4994.675707810197198467297631937344
277,0,1,3977.757867696919082187072687275441
278,1,0,153436.4664978029521331291273258787
279,0,1,1317.806716063995573857224924124796
280,0,1,69487.15474025026441016336368622325
281,0,1,693.8033986258661970702813139946425
282,1,0,56530.6347543667034136349338126929
283,0,1,473.0588949863942082074263711081401
284,1,0,1966.583911919900135675189804778723
285,0,1,388.69982619768155271927764491739
286,0,1,16644.01314376865585791531504412089
287,1,0,999.711959776948423376530403731047
288,0,1,32135.10216385399351385782291330498
289,1,0,3910.246460156609839881064564753117
290,1,0,2328.526286653959199134009172742567
291,1,0,12033.50757469751606491735598341188
292,1,0,999.5530007335320586631254601791265
293,1,0,2051.918988574236408713294634612972
294,0,1,8930.160279271600201347380844507705
295,1,0,1436.767135608664385961794154129403
296,1,0,1658.468503998869277868486109034607
297,0,1,1262.828822041366579362530604259528
298,1,0,2555.00111020974547688398750161808
299,1,0,1854.238089338646289258114968932239
300,0,1,289858.2022281373746942959684655633
301,0,1,1316.720100540699109599942697909654
302,0,1,132828.9530131435359002004043830202
303,0,1,169789.3233485773609212345206533091
304,1,0,2202.567397124111085201923264702142
